lif_file,regions_file,region_index,region_name,channel_1_region_volume,channel_1_unscaled_region_volume,region_area,Norm_fluoro,Reps,Time,Marker
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series001.zip,1,0002-0114-0253,216264,848.0942,9200,0.092184152,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series001.zip,2,0002-0244-0252,308915,1211.4314,13247,0.09144949,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series001.zip,3,0002-0377-0249,243590,955.25494,7857,0.121580112,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series002.zip,1,0002-0278-0129,233904,917.2706,10767,0.085192774,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series002.zip,2,0002-0245-0222,236966,929.2785,9001,0.103241695,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series002.zip,3,0002-0205-0315,174602,684.71375,5711,0.119893845,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series003.zip,1,0002-0237-0291,221032,866.79224,11387,0.076121212,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series003.zip,2,0002-0309-0230,372907,1462.3804,15510,0.094286293,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series003.zip,3,0002-0408-0145,252995,992.13727,7820,0.126871774,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series004.zip,1,0002-0153-0216,224686,881.1216,8726,0.100976576,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series004.zip,2,0002-0242-0236,319307,1252.1843,12695,0.098636022,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series004.zip,3,0002-0342-0278,210375,824.99994,7183,0.114854509,Rep1,0h,HDEL-GFP
/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h.lif,/Users/eseolaa/Desktop/sp8/HDEL-GFP/Guy11_HDEL-GFP/HDEL-GFP_Rep1/HDEL-GFP_Rep1_0h/HDEL-GFP_Rep1_0h_Series005.zip,1,0002-0112-0256,235137,922.1059,10270,0.089786358,Rep1,0h,HDEL-GFP
