"","Reps","region_index","Time","Marker","mean_fluor"
"1","Rep1",1,"0h","Grh1",0.14082289124
"2","Rep1",1,"0h","HDEL",0.1009738566
"3","Rep1",1,"0h","Pex6",0.0610446490333333
"4","Rep1",1,"0h","Rpl25",0.10820064456
"5","Rep1",1,"0h","Scad2",0.1826406149
"6","Rep1",1,"0h","Sec7",0.12319378185
"7","Rep1",1,"0h","Vac8",0.109080591666667
"8","Rep1",1,"24h","Grh1",0.0179925764
"9","Rep1",1,"24h","HDEL",0.0455449188
"10","Rep1",1,"24h","Pex6",0.029825844
"11","Rep1",1,"24h","Rpl25",0.03099271472
"12","Rep1",1,"24h","Scad2",0.0240952055
"13","Rep1",1,"24h","Sec7",0.0398579735454545
"14","Rep1",1,"24h","Vac8",0.0385529826190476
"15","Rep1",1,"4h","Grh1",0.05933585672
"16","Rep1",1,"4h","HDEL",0.056671758
"17","Rep1",1,"4h","Pex6",0.0422141307666667
"18","Rep1",1,"4h","Rpl25",0.10820064456
"19","Rep1",1,"4h","Scad2",0.1268268654
"20","Rep1",1,"4h","Sec7",0.07990396095
"21","Rep1",1,"4h","Vac8",0.0829264065
"22","Rep1",1,"8h","Grh1",0.04947951144
"23","Rep1",1,"8h","HDEL",0.05304089295
"24","Rep1",1,"8h","Pex6",0.0296526109666667
"25","Rep1",1,"8h","Rpl25",0.04308415924
"26","Rep1",1,"8h","Scad2",0.0995283484
"27","Rep1",1,"8h","Sec7",0.0585200715238095
"28","Rep1",1,"8h","Vac8",0.063935493
"29","Rep1",2,"0h","Grh1",0.14292020944
"30","Rep1",2,"0h","HDEL",0.10682222005
"31","Rep1",2,"0h","Pex6",0.0608732497333333
"32","Rep1",2,"0h","Rpl25",0.08712452904
"33","Rep1",2,"0h","Scad2",0.1748740115
"34","Rep1",2,"0h","Sec7",0.1275445982
"35","Rep1",2,"0h","Vac8",0.100156896333333
"36","Rep1",2,"24h","Grh1",0.02213929664
"37","Rep1",2,"24h","HDEL",0.05009280375
"38","Rep1",2,"24h","Pex6",0.03386291325
"39","Rep1",2,"24h","Rpl25",0.04218993624
"40","Rep1",2,"24h","Scad2",0.03659897675
"41","Rep1",2,"24h","Sec7",0.0431250296363636
"42","Rep1",2,"24h","Vac8",0.0448528977619048
"43","Rep1",2,"4h","Grh1",0.06257313332
"44","Rep1",2,"4h","HDEL",0.057839172
"45","Rep1",2,"4h","Pex6",0.0458359447
"46","Rep1",2,"4h","Rpl25",0.08712452904
"47","Rep1",2,"4h","Scad2",0.14079910965
"48","Rep1",2,"4h","Sec7",0.08309089125
"49","Rep1",2,"4h","Vac8",0.0864787604375
"50","Rep1",2,"8h","Grh1",0.053174149
"51","Rep1",2,"8h","HDEL",0.0662684308
"52","Rep1",2,"8h","Pex6",0.0351087192333333
"53","Rep1",2,"8h","Rpl25",0.052784182
"54","Rep1",2,"8h","Scad2",0.12062516645
"55","Rep1",2,"8h","Sec7",0.0698154143333333
"56","Rep1",2,"8h","Vac8",0.0881121187619048
"57","Rep1",3,"0h","Grh1",0.1950611958
"58","Rep1",3,"0h","HDEL",0.13141920725
"59","Rep1",3,"0h","Pex6",0.0635589384
"60","Rep1",3,"0h","Rpl25",0.10752149816
"61","Rep1",3,"0h","Scad2",0.19728150255
"62","Rep1",3,"0h","Sec7",0.1567605514
"63","Rep1",3,"0h","Vac8",0.118351845904762
"64","Rep1",3,"24h","Grh1",0.0341526854
"65","Rep1",3,"24h","HDEL",0.08240436585
"66","Rep1",3,"24h","Pex6",0.0455270215
"67","Rep1",3,"24h","Rpl25",0.08065786212
"68","Rep1",3,"24h","Scad2",0.0527450685
"69","Rep1",3,"24h","Sec7",0.0437314570909091
"70","Rep1",3,"24h","Vac8",0.0802766897619048
"71","Rep1",3,"4h","Grh1",0.06808361936
"72","Rep1",3,"4h","HDEL",0.0678192615714286
"73","Rep1",3,"4h","Pex6",0.0387792454333333
"74","Rep1",3,"4h","Rpl25",0.10752149816
"75","Rep1",3,"4h","Scad2",0.0808672975
"76","Rep1",3,"4h","Sec7",0.07292199725
"77","Rep1",3,"4h","Vac8",0.102631686
"78","Rep1",3,"8h","Grh1",0.0640838892
"79","Rep1",3,"8h","HDEL",0.0941402295
"80","Rep1",3,"8h","Pex6",0.0376976857
"81","Rep1",3,"8h","Rpl25",0.05988389136
"82","Rep1",3,"8h","Scad2",0.08320025255
"83","Rep1",3,"8h","Sec7",0.0759394264285714
"84","Rep1",3,"8h","Vac8",0.108041038714286
"85","Rep1",4,"24h","Grh1",0.03422602704
"86","Rep1",4,"24h","HDEL",0.07391901745
"87","Rep1",4,"24h","Pex6",0.0463864509
"88","Rep1",4,"24h","Rpl25",0.0719252986
"89","Rep1",4,"24h","Scad2",0.0860134232
"90","Rep1",4,"24h","Sec7",0.0421769454090909
"91","Rep1",4,"24h","Vac8",0.0542529825714286
"92","Rep1",4,"4h","Grh1",0.07369299308
"93","Rep1",4,"4h","HDEL",0.0665566448095238
"94","Rep1",4,"4h","Pex6",0.0429631118666667
"95","Rep1",4,"4h","Scad2",0.09578424715
"96","Rep1",4,"4h","Sec7",0.06006514945
"97","Rep1",4,"4h","Vac8",0.0406021303125
"98","Rep1",4,"8h","Grh1",0.04784938472
"99","Rep1",4,"8h","HDEL",0.0790986298
"100","Rep1",4,"8h","Pex6",0.0329113086333333
"101","Rep1",4,"8h","Rpl25",0.04884478028
"102","Rep1",4,"8h","Scad2",0.0882696927
"103","Rep1",4,"8h","Sec7",0.0623551243809524
"104","Rep1",4,"8h","Vac8",0.0542224962857143
"105","Rep1",5,"24h","Grh1",0.13968290716
"106","Rep1",5,"24h","HDEL",0.2825767399
"107","Rep1",5,"24h","Pex6",0.11243742575
"108","Rep1",5,"24h","Rpl25",0.13553804868
"109","Rep1",5,"24h","Scad2",0.1758494364
"110","Rep1",5,"24h","Sec7",0.175896302636364
"111","Rep1",5,"24h","Vac8",0.128402230761905
"112","Rep1",5,"4h","Grh1",0.1406673544
"113","Rep1",5,"4h","HDEL",0.108385941333333
"114","Rep1",5,"4h","Pex6",0.0706640245666667
"115","Rep1",5,"4h","Scad2",0.1686783259
"116","Rep1",5,"4h","Sec7",0.13665528445
"117","Rep1",5,"4h","Vac8",0.0651742888125
"118","Rep1",5,"8h","Grh1",0.0966079704
"119","Rep1",5,"8h","HDEL",0.1423846723
"120","Rep1",5,"8h","Pex6",0.0548119425
"121","Rep1",5,"8h","Rpl25",0.123677666
"122","Rep1",5,"8h","Scad2",0.1599218524
"123","Rep1",5,"8h","Sec7",0.130060247714286
"124","Rep1",5,"8h","Vac8",0.0844151830952381
"125","Rep2",1,"0h","Grh1",0.118210711461538
"126","Rep2",1,"0h","HDEL",0.0836111594
"127","Rep2",1,"0h","Pex6",0.105603396346154
